Table 2.1. Personal Income and Its Disposition
Table 2.1. Personal Income and Its Disposition
"Last Revised on: July 30, 2025 - Next Release Date August 28, 2025"
Line,,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Personal income,85289,76533,65668,50294,47234,54090,60843,69221,74710,69084,73632,79408,97878,126724,156187,169717,175786,182534,194481,213496,211071,233735,264232,282460,299227,302221,324159,347903,367983,378953,402865,422138,440576,468837,492774,528193,570659,620339,665723,730915,800336,865045,932785,1024456,1140780,1251819,1369389,1502647,1659236,1863721,2082709,2324458,2603200,2789461,2981716,3288674,3522893,3731193,3946806,4280021,4621012,4913303,5089913,5417494,5652865,5940921,6283359,6666199,7073974,7588358,7978599,8621299,8993143,9150049,9481755,10015873,10546102,11301996,11932119,12425679,12065682,12556628,13309571,13917794,14068770,14784074,15473741,15887651,16662756,17528192,18363160,19620082,21419498,22088920,23402535,24669308
2,"    Compensation of employees",51408,47167,40071,31339,29787,34553,37667,43289,48310,45412,48553,52749,66187,88036,112698,124321,126304,122485,132361,144313,144334,158269,185705,201088,215245,214139,230571,249275,262576,264670,285829,301283,310422,332202,350408,375975,405415,449249,481790,530751,584458,623347,664995,731333,812683,887715,947230,1048347,1165825,1316765,1477231,1622247,1792525,1892983,2012489,2215872,2387324,2542063,2722405,2947987,3139601,3340373,3450516,3668246,3817290,4006192,4198088,4416942,4708818,5071138,5402682,5847146,6038348,6135115,6353606,6719488,7066107,7479676,7878475,8056826,7759019,7925369,8226175,8567363,8835039,9250208,9699419,9966108,10424372,10957404,11446611,11596428,12557025,13436720,14190188,15019902
3,"        Wages and salaries",50460,46214,39157,30514,29027,33734,36722,41954,46139,43013,45985,49860,62085,82098,105786,116749,117493,112005,123097,135550,134733,147253,171607,185636,198989,197263,212151,229026,239951,241317,259842,272855,280519,299358,314851,337788,363757,400321,429009,471972,518333,551560,584549,638785,708762,772282,814838,899745,994158,1120570,1253314,1373422,1511373,1587517,1677513,1844915,1982550,2102335,2256267,2439782,2583051,2741199,2814478,2965541,3079340,3236589,3418022,3616469,3876844,4181616,4457926,4824946,4953635,4995843,5138269,5421014,5691379,6056739,6396392,6534095,6249110,6372510,6626182,6928124,7113994,7476332,7859482,8091239,8474410,8899824,9325144,9465660,10315597,11123119,11725244,12401067
4,"            Private industries",45499,41035,33873,25522,23864,27637,30195,34059,38615,34755,37744,41396,51895,66122,79169,83781,82591,91305,105584,116530,113906,124620,142378,152258,164651,162358,175555,190224,198938,197195,213788,223673,228048,243011,254825,272863,293847,321932,342526,375283,412733,434328,457769,500898,559963,611770,638598,710839,791570,900552,1016178,1111961,1225524,1279980,1352718,1496777,1608687,1705115,1833150,1987745,2101945,2222150,2265713,2393540,2490330,2627093,2788996,2968375,3204957,3480303,3724160,4045159,4131637,4122977,4224317,4468675,4700059,5022214,5307847,5390244,5073887,5181336,5431331,5729815,5905988,6239431,6583727,6783210,7126207,7497950,7874807,7971079,8770498,9498951,9992467,10545952
5,"            Government",4961,5179,5284,4992,5163,6097,6527,7895,7524,8258,8241,8464,10190,15976,26617,32968,34902,20700,17513,19020,20827,22633,29229,33378,34338,34905,36596,38802,41013,44122,46054,49182,52471,56347,60026,64925,69910,78389,86483,96689,105600,117232,126780,137887,148799,160512,176240,188906,202588,220018,237136,261461,285849,307537,324795,348138,373863,397220,423117,452037,481106,519049,548765,572001,589010,609496,629026,648094,671887,701313,733766,779787,821998,872866,913952,952339,991320,1034524,1088544,1143851,1175223,1191174,1194851,1198309,1208006,1236901,1275756,1308029,1348203,1401874,1450337,1494580,1545099,1624168,1732777,1855114
6,"        Supplements to wages and salaries",948,953,914,825,760,819,945,1335,2171,2399,2568,2889,4102,5938,6912,7572,8811,10480,9264,8763,9601,11016,14098,15452,16256,16876,18420,20249,22625,23353,25987,28428,29903,32844,35557,38187,41658,48928,52781,58779,66125,71787,80446,92548,103921,115433,132392,148602,171667,196195,223917,248826,281152,305465,334976,370957,404774,439729,466139,508205,556550,599175,636038,702705,737949,769603,780066,800473,831974,889522,944757,1022200,1084714,1139272,1215337,1298474,1374728,1422938,1482083,1522730,1509910,1552859,1599993,1639238,1721044,1773876,1839937,1874870,1949962,2057580,2121468,2130768,2241427,2313601,2464944,2618835
7,"            Employer contributions for employee pension and insurance funds1",940,946,909,817,756,812,933,1093,1141,1200,1264,1513,2386,3930,4584,5035,5348,5414,5333,5759,6251,7642,10003,11309,12047,12264,13245,14581,16257,17005,18132,19177,20292,21662,23152,25556,28565,32082,34762,38829,43372,47948,54000,61392,64138,70738,85669,94204,110563,124667,141330,159886,177542,195696,215093,231919,257041,281859,299878,323572,362877,392723,420906,474307,498270,515464,515946,525668,542381,582285,621418,676980,726727,773229,832793,889722,946666,975632,1020414,1051324,1051812,1083859,1107251,1125945,1194735,1227455,1270575,1293924,1345306,1432791,1470828,1472052,1534689,1548261,1643913,1762229
8,"            Employer contributions for government social insurance",8,7,5,8,4,7,12,242,1030,1199,1304,1376,1716,2008,2328,2537,3463,5066,3931,3004,3349,3373,4095,4143,4209,4612,5174,5668,6368,6349,7854,9250,9611,11182,12405,12631,13093,16846,18019,19950,22753,23839,26446,31156,39783,44695,46723,54398,61104,71529,82587,88940,103610,109769,119883,139038,147734,157869,166261,184633,193673,206451,215132,228398,239679,254139,264120,274805,289593,307237,323339,345220,357987,366043,382544,408752,428062,447306,461669,471406,458098,469000,492742,513293,526309,546421,569362,580946,604656,624789,650639,658716,706739,765340,821031,856606
9,"    Proprietors' income with inventory valuation and capital consumption adjustments",14015,10872,8315,5012,5268,7007,10124,10393,12521,10598,11120,12234,16650,23341,28225,29346,30824,35671,34579,39279,34690,37514,42594,43040,42017,42255,44272,45819,47785,50158,50346,50587,53199,55234,56398,59132,63662,67933,69475,73832,77005,77803,83904,95094,112521,112213,118238,130974,144492,165974,179438,171569,179680,171191,186250,228247,241051,256479,286468,325524,341130,353154,354162,400155,427984,456644,481186,543784,583958,640276,696352,753559,831057,870133,897509,962895,979140,1050869,995398,960304,938126,1108503,1228337,1299922,1351739,1369965,1347722,1349214,1428634,1495331,1555775,1594019,1815266,1873555,1948994,2005862
