observation_date,USSTHPI
1975-01-01,59.78
1975-04-01,60.74
1975-07-01,61.02
1975-10-01,62.19
1976-01-01,62.73
1976-04-01,65.28
1976-07-01,66.39
1976-10-01,67.08
1977-01-01,69.34
1977-04-01,72.49
1977-07-01,74.16
1977-10-01,76.92
1978-01-01,79.30
1978-04-01,82.28
1978-07-01,85.11
1978-10-01,87.46
1979-01-01,91.37
1979-04-01,94.44
1979-07-01,96.48
1979-10-01,98.25
1980-01-01,100.00
1980-04-01,101.62
1980-07-01,104.43
1980-10-01,104.57
1981-01-01,105.08
1981-04-01,107.33
1981-07-01,108.85
1981-10-01,107.54
1982-01-01,106.17
1982-04-01,108.61
1982-07-01,106.85
1982-10-01,111.54
1983-01-01,114.33
1983-04-01,115.78
1983-07-01,116.80
1983-10-01,117.54
1984-01-01,119.28
1984-04-01,120.90
1984-07-01,122.02
1984-10-01,123.02
1985-01-01,124.72
1985-04-01,126.62
1985-07-01,128.59
1985-10-01,130.04
1986-01-01,132.55
1986-04-01,135.34
1986-07-01,137.41
1986-10-01,139.53
1987-01-01,142.29
1987-04-01,144.50
1987-07-01,146.18
1987-10-01,147.12
1988-01-01,149.40
1988-04-01,152.39
1988-07-01,153.98
1988-10-01,155.38
1989-01-01,157.24
1989-04-01,159.37
1989-07-01,162.76
1989-10-01,164.10
1990-01-01,165.03
1990-04-01,165.73
1990-07-01,166.75
1990-10-01,166.09
1991-01-01,167.48
1991-04-01,168.59
1991-07-01,168.92
1991-10-01,171.27
1992-01-01,172.60
1992-04-01,172.55
1992-07-01,174.53
1992-10-01,175.40
1993-01-01,175.47
1993-04-01,177.16
1993-07-01,178.60
1993-10-01,180.06
1994-01-01,181.18
1994-04-01,182.25
1994-07-01,183.02
1994-10-01,182.85
1995-01-01,183.81
1995-04-01,186.84
1995-07-01,189.71
1995-10-01,191.18
1996-01-01,193.31
1996-04-01,193.63
1996-07-01,194.49
1996-10-01,196.01
1997-01-01,197.63
1997-04-01,199.27
1997-07-01,201.98
1997-10-01,204.61
1998-01-01,207.68
1998-04-01,209.51
1998-07-01,212.46
1998-10-01,214.97
1999-01-01,217.23
1999-04-01,220.12
1999-07-01,223.25
1999-10-01,225.53
2000-01-01,229.84
2000-04-01,233.60
2000-07-01,237.86
2000-10-01,241.50
2001-01-01,247.48
2001-04-01,251.63
2001-07-01,255.53
2001-10-01,258.69
2002-01-01,262.39
2002-04-01,266.88
2002-07-01,272.17
2002-10-01,276.03
2003-01-01,279.39
2003-04-01,282.81
2003-07-01,287.17
2003-10-01,295.28
2004-01-01,299.93
2004-04-01,307.26
2004-07-01,318.97
2004-10-01,325.81
2005-01-01,333.30
2005-04-01,343.99
2005-07-01,354.40
2005-10-01,362.44
2006-01-01,368.17
2006-04-01,371.97
2006-07-01,375.02
2006-10-01,378.87
2007-01-01,380.28
2007-04-01,380.03
2007-07-01,375.78
2007-10-01,374.56
2008-01-01,371.80
2008-04-01,362.41
2008-07-01,351.00
2008-10-01,347.76
2009-01-01,350.32
2009-04-01,341.14
2009-07-01,332.25
2009-10-01,329.71
2010-01-01,325.78
2010-04-01,322.83
2010-07-01,325.95
2010-10-01,323.63
2011-01-01,314.64
2011-04-01,309.10
2011-07-01,311.40
2011-10-01,312.84
2012-01-01,309.55
2012-04-01,308.15
2012-07-01,312.24
2012-10-01,314.70
2013-01-01,316.24
2013-04-01,321.08
2013-07-01,325.64
2013-10-01,328.23
2014-01-01,330.91
2014-04-01,337.34
2014-07-01,342.19
2014-10-01,344.97
2015-01-01,348.78
2015-04-01,354.43
2015-07-01,359.45
2015-10-01,362.33
2016-01-01,365.67
2016-04-01,372.48
2016-07-01,379.14
2016-10-01,382.07
2017-01-01,384.77
2017-04-01,393.37
2017-07-01,399.44
2017-10-01,402.75
2018-01-01,408.41
2018-04-01,415.90
2018-07-01,420.99
2018-10-01,422.42
2019-01-01,427.16
2019-04-01,434.30
2019-07-01,439.83
2019-10-01,443.75
2020-01-01,448.89
2020-04-01,453.41
2020-07-01,461.39
2020-10-01,471.51
2021-01-01,482.93
2021-04-01,509.74
2021-07-01,538.13
2021-10-01,556.58
2022-01-01,576.94
2022-04-01,614.56
2022-07-01,624.40
2022-10-01,618.49
2023-01-01,622.13
2023-04-01,640.75
2023-07-01,652.13
2023-10-01,653.93
2024-01-01,662.70
2024-04-01,679.36
2024-07-01,686.41
2024-10-01,689.54
2025-01-01,693.76
