locations,year,month,value
Alabama,2010,M01,        11.6
Alabama,2010,M02,        11.3
Alabama,2010,M03,        10.9
Alabama,2010,M04,        10.1
Alabama,2010,M05,         9.9
Alabama,2010,M06,        10.4
Alabama,2010,M07,        10.3
Alabama,2010,M08,        10.3
Alabama,2010,M09,        10.0
Alabama,2010,M10,         9.9
Alabama,2010,M11,        10.1
Alabama,2010,M12,         9.9
Alabama,2011,M01,        10.5
Alabama,2011,M02,        10.3
Alabama,2011,M03,         9.8
Alabama,2011,M04,         9.3
Alabama,2011,M05,         9.3
Alabama,2011,M06,        10.3
Alabama,2011,M07,        10.0
Alabama,2011,M08,         9.7
Alabama,2011,M09,         9.5
Alabama,2011,M10,         9.0
Alabama,2011,M11,         8.5
Alabama,2011,M12,         8.4
Alabama,2012,M01,         9.0
Alabama,2012,M02,         8.8
Alabama,2012,M03,         8.4
Alabama,2012,M04,         7.7
Alabama,2012,M05,         7.9
Alabama,2012,M06,         8.8
Alabama,2012,M07,         8.7
Alabama,2012,M08,         8.4
Alabama,2012,M09,         7.8
Alabama,2012,M10,         7.6
Alabama,2012,M11,         7.3
Alabama,2012,M12,         7.5
Alabama,2013,M01,         8.3
Alabama,2013,M02,         8.0
Alabama,2013,M03,         7.3
Alabama,2013,M04,         6.7
Alabama,2013,M05,         6.9
Alabama,2013,M06,         7.8
Alabama,2013,M07,         7.6
Alabama,2013,M08,         7.5
Alabama,2013,M09,         7.2
Alabama,2013,M10,         7.2
Alabama,2013,M11,         6.9
Alabama,2013,M12,         6.8
Alabama,2014,M01,         7.5
Alabama,2014,M02,         7.5
Alabama,2014,M03,         7.2
Alabama,2014,M04,         6.3
Alabama,2014,M05,         6.5
Alabama,2014,M06,         7.1
Alabama,2014,M07,         7.3
Alabama,2014,M08,         7.1
Alabama,2014,M09,         6.5
Alabama,2014,M10,         6.2
Alabama,2014,M11,         6.1
Alabama,2014,M12,         5.9
Alabama,2015,M01,         6.7
Alabama,2015,M02,         6.4
Alabama,2015,M03,         6.0
Alabama,2015,M04,         5.6
Alabama,2015,M05,         5.9
Alabama,2015,M06,         6.4
Alabama,2015,M07,         6.5
Alabama,2015,M08,         6.2
Alabama,2015,M09,         5.9
Alabama,2015,M10,         5.9
Alabama,2015,M11,         5.8
Alabama,2015,M12,         5.8
Alabama,2016,M01,         6.3
Alabama,2016,M02,         6.2
Alabama,2016,M03,         5.9
Alabama,2016,M04,         5.4
Alabama,2016,M05,         5.3
Alabama,2016,M06,         6.1
Alabama,2016,M07,         6.0
Alabama,2016,M08,         5.9
Alabama,2016,M09,         5.9
Alabama,2016,M10,         5.7
Alabama,2016,M11,         5.3
Alabama,2016,M12,         5.4
Alabama,2017,M01,         6.0
Alabama,2017,M02,         5.6
Alabama,2017,M03,         4.9
Alabama,2017,M04,         4.3
Alabama,2017,M05,         4.2
Alabama,2017,M06,         4.8
Alabama,2017,M07,         4.7
Alabama,2017,M08,         4.5
Alabama,2017,M09,         4.0
Alabama,2017,M10,         3.8
Alabama,2017,M11,         3.8
Alabama,2017,M12,         3.7
Alabama,2018,M01,         4.4
Alabama,2018,M02,         4.3
Alabama,2018,M03,         4.0
Alabama,2018,M04,         3.5
Alabama,2018,M05,         3.5
Alabama,2018,M06,         4.5
Alabama,2018,M07,         4.2
Alabama,2018,M08,         4.1
Alabama,2018,M09,         3.7
Alabama,2018,M10,         3.7
Alabama,2018,M11,         3.4
Alabama,2018,M12,         3.6
Alabama,2019,M01,         4.3
Alabama,2019,M02,         3.8
Alabama,2019,M03,         3.5
Alabama,2019,M04,         2.8
Alabama,2019,M05,         2.7
Alabama,2019,M06,         3.4
Alabama,2019,M07,         3.3
Alabama,2019,M08,         3.3
Alabama,2019,M09,         2.8
Alabama,2019,M10,         2.8
Alabama,2019,M11,         2.8
Alabama,2019,M12,         2.9
Alabama,2020,M01,         3.6
Alabama,2020,M02,         3.4
Alabama,2020,M03,         3.7
Alabama,2020,M04,        13.1
Alabama,2020,M05,        10.2
Alabama,2020,M06,         8.9
Alabama,2020,M07,         8.0
Alabama,2020,M08,         6.4
Alabama,2020,M09,         6.0
Alabama,2020,M10,         4.9
Alabama,2020,M11,         4.6
Alabama,2020,M12,         4.3
Alabama,2021,M01,         4.5
Alabama,2021,M02,         4.1
Alabama,2021,M03,         3.7
Alabama,2021,M04,         3.3
Alabama,2021,M05,         3.1
Alabama,2021,M06,         4.0
Alabama,2021,M07,         3.7
Alabama,2021,M08,         3.5
Alabama,2021,M09,         2.9
Alabama,2021,M10,         2.7
Alabama,2021,M11,         2.4
Alabama,2021,M12,         2.3
Alabama,2022,M01,         3.1
Alabama,2022,M02,         2.9
Alabama,2022,M03,         2.4
Alabama,2022,M04,         2.0
Alabama,2022,M05,         2.2
Alabama,2022,M06,         3.0
Alabama,2022,M07,         2.9
Alabama,2022,M08,         2.9
